	t10	t10	t10	t20	t20	t20	t30	t30	t30	t40	t40	t40	t50	t50	t50	t90	t90	t90
eco_gcs1_t02762	27.59643589	32.13173222	21.21957982	32.22749652	33.40812981	20.67839732	28.49347822	30.23801656	22.72269283	31.40269815	25.26027454	24.86734123	31.94184682	27.16745372	23.32180566	34.9082616	34.23023487	38.65303439
eco_gcs1_t02771	1639.310646	1319.248175	1750.109177	1483.421496	1318.49446	1087.19613	1241.001428	1369.809999	1237.688333	1148.879906	1523.880872	1427.823778	1204.86836	1296.145049	1584.223419	724.48262	1177.564047	1122.097148
eco_gcs1_t10104	433.985087	329.1639888	460.2101276	495.2646969	446.5436639	428.5154126	505.144302	516.0331516	541.5304754	484.7055022	512.5751428	478.410155	493.0116818	376.6025777	479.1382608	356.2070224	458.3491049	506.3048343
eco_gcs1_t04675	50.91663933	37.68184901	35.5520364	62.44599491	80.782779	46.50935277	67.56609394	30.73785579	50.67719474	70.55680412	27.53772046	42.83443167	95.16647735	35.09727874	44.04213585	49.7066518	31.8080868	37.35766627
eco_gcs1_t10890	478.3960827	306.5465964	587.3909318	544.5592307	529.1792011	564.791636	587.3353804	614.9761864	628.2250065	584.5888228	763.3465534	664.9314696	660.2226907	568.5486093	623.4088384	326.6239413	561.8046142	509.7432971
eco_gcs1_t09612	802.0544585	662.8236996	929.4409484	549.2311269	518.7117224	510.5944549	417.9224727	537.4715633	532.0009582	384.9073259	469.3278228	497.543044	419.418975	425.3805945	475.3179554	536.6381446	688.3983793	865.5218401
eco_gcs1_t01001	2831.676546	2269.132627	4567.775518	2602.113853	2776.351938	3076.172288	2469.834302	3795.342979	4090.592143	2305.662687	3332.790656	3463.370015	2223.529249	3047.221902	3480.683491	1366.523789	2532.658188	2279.829538
eco_gcs1_t01738	23.18656142	17.62025528	9.926827503	22.4653598	21.35537083	7.284423626	22.62903506	15.75467597	18.83040846	34.21054547	16.34432436	23.59703402	37.27431055	28.67325992	21.90021553	32.09516748	19.14489961	25.20009549
eco_gcs1_t03710	597.6759551	497.198744	482.3184866	664.8944473	480.5982876	430.0793302	791.1291377	671.5662018	621.0923225	785.3375622	747.1147785	707.4200667	1014.458003	745.6423922	857.8895641	1478.445362	1648.546107	1726.737833
eco_gcs1_t05182	11079.59674	7943.951045	5941.102798	10915.74556	7777.440059	3975.818624	9704.089976	5529.000271	4718.006245	9046.361134	4953.801705	4338.609949	8364.792287	4779.061195	4066.303525	7046.974483	4426.613857	4281.770462
eco_gcs1_t01638	167.2584665	133.9432049	150.281101	173.9645061	169.1578992	113.7256411	151.6950404	168.5650532	108.6415216	131.1706685	131.372651	111.8704695	134.7269267	125.9825111	113.504862	48.49264163	69.81929455	70.32680085
eco_gcs1_t01424	24.57541558	26.48881229	30.30822673	24.47714186	26.19870349	41.43049058	34.16880228	29.46127223	29.34081896	31.57980467	27.50642644	30.15853135	30.88106638	30.61237192	24.27070161	37.34837799	34.90503496	34.48766032
eco_gcs1_t00726	11.82064632	12.07397929	16.65635672	11.71931016	15.12081175	20.0106713	6.338791414	14.28961274	9.560724404	6.056454818	8.744348811	6.462580924	4.905138657	8.970207365	5.723987802	5.867511664	4.66159798	4.08411185
eco_gcs1_t03505	2.288966878	3.235602051	1.981895045	1.840418868	2.215273383	1.897478545	1.416085555	2.518511234	2.434211367	1.738217585	3.868345899	2.024360853	2.228230249	4.413307548	2.288364461	2.70795681	2.152131917	1.755299689
eco_gcs1_t01281	2.262205563	5.709839702	1.993675049	2.276511723	3.238768641	6.726922211	2.499423616	2.30683024	2.411993843	1.900926033	3.807952238	1.814041248	2.661778779	3.12799069	3.629798502	8.819262594	3.435443007	2.518302822
eco_gcs1_t03605	74.43438236	59.9602824	60.12322291	102.6245079	91.10873429	59.93359511	121.7942309	97.43093947	91.42159381	128.4930671	96.21874356	99.59467256	141.7430612	109.9155183	101.4590666	148.4098874	150.9680465	174.8829222
eco_gcs1_t09734	4.642033279	9.858798003	6.231205035	4.746249043	7.099127688	12.60911621	6.642002144	4.626071379	4.194786655	6.506235048	4.290652158	6.152355994	6.507872601	6.237299041	7.481163211	9.405198352	6.9982257	5.757054392
eco_gcs1_t11217	89.86603641	77.33946894	77.66394656	71.42844332	71.4783207	66.27553479	74.01488468	49.74216962	59.70207082	64.570813	42.39389395	51.95684058	59.63004571	45.25322506	42.20710683	94.76261077	51.93158785	67.73537198
eco_gcs1_t00921	131.0842862	114.6303878	141.5145442	104.5674237	87.93305261	69.34031176	99.61599292	104.572988	90.03737952	96.69412877	94.42986247	90.3861617	94.01669076	87.28513268	93.12395496	32.2368202	39.37607408	46.07523776
eco_gcs1_t10458	70.04628169	56.30276458	55.34747957	85.75048218	74.86595487	59.29687866	83.52268216	67.791689	69.14572009	91.09086186	69.2499298	63.23021107	79.13225236	69.42877473	62.6086446	42.72211205	43.50861575	38.90332707
eco_gcs1_t07171	73.56217126	98.25649059	70.02007448	61.401661	77.44030261	41.0200839	52.43767152	76.97620654	44.97500822	43.47906618	66.36781269	42.02915261	49.96649535	57.29024694	50.15353199	241.0448649	261.0649344	271.3204493
eco_gcs1_t03240	8094.992606	6851.075555	13261.33373	8455.493122	7379.204302	10109.88208	6889.257425	11659.20294	10762.36232	5992.691405	10960.84731	9714.932574	5409.075909	8800.040072	9237.714054	5497.826563	11028.48756	12342.23476
eco_gcs1_t09671	10.26883409	10.327329	25.14221194	15.57719487	13.64214634	13.26959113	16.23794406	23.72816288	30.68516254	21.42724093	23.7443657	20.91265444	15.01055772	16.91519562	14.46926603	23.86860443	37.13840254	45.48481806
eco_gcs1_t01986	108.7857675	124.2515118	50.21650547	115.260648	150.8082481	50.75313323	87.95799586	137.1482531	45.63528971	62.29600153	58.93456832	30.36429906	34.6691454	48.09877015	19.93003825	16.87559311	17.00918224	14.45333447
eco_gcs1_t06305	166.8396557	112.33627	139.9270096	127.3619239	115.45412	93.55851624	99.86300081	91.71694601	86.9782261	80.39137981	75.3132777	79.19269776	80.33831213	72.50459977	75.70666016	86.94033371	106.2706887	129.0618819
eco_gcs1_t07143	120.7119369	100.8865397	107.6615855	75.23064524	92.26540454	78.14136382	54.664918	39.50144911	59.31410295	56.15997776	35.3140533	43.40261036	45.86253662	34.47594606	44.48389516	46.31061223	34.87177814	43.09686638
eco_gcs1_t03742	101.8178837	72.2641251	78.77391108	79.72129495	76.74885489	56.71717941	71.37959474	64.06737003	65.6124558	66.03533497	52.04890562	65.19554978	62.48515548	38.02150045	63.89289273	84.57539796	100.4119212	113.8610534
eco_gcs1_t05819	489.781398	471.1707222	639.4550894	566.5353457	632.5201653	581.4679298	607.7519495	658.1934932	697.4550482	559.8549287	732.2250338	720.8527133	872.4535707	724.1710739	949.6816677	1416.411533	2170.558492	1888.132367
eco_gcs1_t04004	3.061846228	5.01945996	2.636674941	3.345265988	3.853489885	7.459156519	3.383065445	2.763995703	2.955006463	4.077259476	3.081028615	2.943932385	3.141746564	2.823760555	3.132076389	8.816052154	2.33562702	3.061899193
eco_gcs1_t03670	5.437417674	7.386909426	6.634903228	6.352711897	7.588384375	14.31550303	8.241974802	8.479239421	7.044254875	8.898886978	7.229976722	11.13284113	9.02719234	15.10859158	15.11650589	7.655144703	11.22258322	8.352068006
eco_gcs1_t05705	19.22517787	20.79678307	18.50800451	22.63097384	22.58394433	19.73846622	21.09999532	17.15857674	18.15541365	21.1131604	17.82518347	14.72399688	16.49446131	11.69596459	18.4737101	17.18006603	13.5888457	12.85662234
eco_gcs1_t02177	3165.156193	3068.116575	1774.281593	2634.90785	3014.912548	1166.182252	3016.518539	1472.158701	1736.459429	3143.082608	1593.739875	1684.206255	3577.943717	1606.332177	1691.546044	3606.737215	1969.846064	1860.990733
eco_gcs1_t03658	4.959363908	4.502340038	3.851620874	5.576355322	5.675091471	3.465467091	8.691291871	5.747893318	5.905738009	9.199679903	4.713796738	7.348881758	10.8254416	7.158862369	7.134302957	5.986235009	3.627106276	3.604016356
eco_gcs1_t07402	3.858324674	2.352831688	2.327456255	7.098772525	5.111547245	0.847591805	6.962754294	5.31067795	6.282937702	4.884920701	4.10891063	2.944439194	3.039325203	2.847167225	1.697616499	1.446850262	1.811643524	2.490799874
eco_gcs1_t11482	21.3104451	44.10658332	23.60700316	23.37548873	30.88417594	38.57747963	32.49353738	18.9339638	25.93655633	30.99960417	37.047814	24.60201391	31.36772308	23.97064438	24.67564849	44.82955522	30.54562321	24.71173698
eco_gcs1_t05351	167.491916	140.4798394	394.8061358	141.5476946	134.7441394	226.7302013	118.2681877	227.8639426	215.6513059	106.7667904	200.2927571	211.8749408	100.3285151	189.2109086	163.6753244	96.48306379	218.2802591	233.3742345
eco_gcs1_t10210	17.42788275	33.59928852	25.84907992	11.02191827	11.88313558	30.07502038	13.27060438	19.61528884	39.93370808	14.67723995	43.63111246	35.24477855	14.638118	50.96325114	20.52233487	36.31592639	30.86430179	25.64573475
eco_gcs1_t11261	2.319804207	5.052429204	3.179081345	2.342702073	1.974860435	6.516987203	2.624893612	3.382380123	5.586218369	2.551380342	3.379893164	3.981779699	3.264400516	5.430773382	2.975497999	8.51942509	4.099445219	4.339089512
eco_gcs1_t06014	21.43238463	19.99498399	24.63495634	28.29654773	26.85639121	23.94324466	30.7433962	30.7868367	27.52444513	31.78303979	36.41624887	30.20492344	33.78922205	29.85048529	30.3400844	12.78701331	16.21504908	15.50141464
eco_gcs1_t04766	10.89511977	23.86587983	9.036385368	12.83867783	15.83301504	15.55468901	20.22117627	12.01609888	13.98521307	20.88261131	12.45164432	14.30767514	23.07515375	18.6012649	14.42189759	32.15601089	17.31000231	12.21106627
eco_gcs1_t03334	28.12745237	18.37085097	23.93945192	25.51721805	23.35804654	17.6180959	23.00389364	24.73076559	24.32829418	29.06706866	20.18687638	24.60287376	28.5005297	22.29036497	23.03302697	9.811452669	17.94834919	19.9406342
eco_gcs1_t01322	9.032152985	15.81439634	8.836445762	9.740413615	12.39717636	34.73292423	11.51338814	5.710341881	9.907855485	9.887725548	10.39436637	11.6534748	13.50265088	11.92942649	16.31938759	24.46937102	11.44603176	10.02290756
eco_gcs1_t08621	2078.213628	1207.753025	1772.053039	2100.515412	1254.264302	1864.664772	2498.883522	2915.058002	2684.770656	2631.354989	3242.853159	2859.929908	1627.304283	2935.612816	1952.398251	565.5983751	860.8495037	907.9905859
eco_gcs1_t03728	47.62418382	31.44824019	129.6025784	39.13085247	30.27461819	67.26788144	33.29880695	94.0399504	94.11568721	30.32137621	85.1490212	80.75468245	29.78671406	71.59409672	62.22217501	12.20527411	52.12904581	53.34982179
eco_gcs1_t05055	5.267005578	3.986946237	4.498190602	27.66039634	18.06831991	13.48408707	38.06242558	34.00626721	27.43995552	45.42566457	39.38125152	36.51404252	37.7964011	33.93987852	29.1256542	8.651705321	12.97790577	7.020422356
eco_gcs1_t07238	15.86798816	14.90381981	17.41836242	11.27015511	15.87449275	16.71389263	14.30358542	14.11482584	12.42926416	13.09209353	11.3186065	16.76569335	12.67444704	17.38903058	15.80298918	16.28941804	15.29722032	16.25332132
eco_gcs1_t02533	6.225789339	8.313473649	4.673754258	4.821434136	5.027106086	6.706172764	4.464321883	3.470652436	4.448628369	4.159521478	3.623993047	4.529197754	4.942609322	4.854965011	4.381993326	6.969237346	4.758134627	8.074932166
eco_gcs1_t05046	15.91384226	14.41501248	22.84407767	34.6901502	26.06733181	28.27352437	84.402573	104.3775646	106.1799498	103.210933	145.1840495	140.90231	122.7960966	201.9080289	160.0813137	72.97522796	100.3620762	113.1856366
