	c10	c10	c10	c20	c20	c20	c30	c30	c30	c40	c40	c40	c50	c50	c50	c90	c90	c90
eco_gcs1_t02762	36.26756869	16.67066841	20.4876231	35.33838314	12.77472222	21.64615821	25.44389534	23.06168276	21.80559815	22.87917191	26.19727452	23.86538422	28.32969623	19.31283561	27.77394644	35.81786427	34.08109921	9.284156906
eco_gcs1_t02771	2162.11823	3227.826588	1922.69614	2510.443405	2527.794061	1795.666464	2773.353035	1900.944004	2022.873916	2210.495369	2065.699676	1333.746441	2355.906317	2239.536717	1713.226608	2035.976564	1741.73505	2014.459716
eco_gcs1_t10104	255.3906673	207.5140239	284.8673547	287.4087852	227.8922529	275.1889121	231.5046615	259.4001189	298.6097608	218.2969784	260.5915581	222.2689843	247.8755933	286.220937	289.118213	165.9234783	280.0695591	281.0628871
eco_gcs1_t04675	30.92693457	9.382411005	37.06289995	24.89725509	11.5481	21.67861155	13.75269022	23.60655171	23.47808371	14.96018844	19.196036	29.67114229	14.96650047	22.62007277	28.80306322	23.80752232	28.47471442	20.269701
eco_gcs1_t10890	339.9611824	210.6137731	281.4635921	284.718749	191.828079	263.1905283	258.2142029	287.0383871	311.5642958	223.7606952	255.7787749	294.0685861	166.9880768	324.7901064	321.8433345	177.8897372	269.8880406	318.8311758
eco_gcs1_t09612	2115.618537	1475.852297	2236.50717	1591.372058	1455.197989	2364.36948	1334.239924	2280.4659	2265.203587	1301.691248	2109.383164	1619.842431	1256.645022	2127.849794	2072.7408	842.3261655	1731.075892	2207.114596
eco_gcs1_t01001	5819.864507	7301.00583	5393.995224	6754.781309	7857.529018	4898.385383	8628.756318	4858.740105	4926.04371	7657.330992	4770.125288	3721.630126	8650.389442	5128.856536	4360.951058	5600.834559	4633.192634	4658.734907
eco_gcs1_t01738	21.32725353	16.50967271	20.89482399	19.76115611	17.85527474	40.63118406	23.81920406	33.1527667	31.87465309	25.48824658	31.48947687	22.9725919	22.60642781	21.31882861	22.83798419	14.4614546	28.56152701	10.65998469
eco_gcs1_t03710	624.6081635	1072.128659	1062.611297	505.6084788	1206.658907	1256.84042	623.6037888	943.7038168	1240.297581	549.6903675	1084.757234	851.804834	527.2130059	1024.185505	891.6576502	320.025842	863.8412685	547.9032317
eco_gcs1_t05182	8663.925062	11317.91683	12930.17638	5786.331778	10358.43852	13563.02041	6895.977916	18613.24266	12382.72925	5541.087791	13331.466	8442.917154	6354.427953	14582.26573	11683.93583	3711.531673	12044.23666	8819.54019
eco_gcs1_t01638	62.48066552	51.69523266	48.18142383	60.66222686	43.54054577	52.82774111	49.36895885	61.98877343	51.14982466	34.42233032	46.7566473	54.88159629	50.96037806	59.65236662	71.46030823	54.26069222	57.7090042	28.96811378
eco_gcs1_t01424	48.81163561	22.93943684	33.05898768	49.28329962	16.97880616	25.5548525	40.93285458	23.34604308	26.78141041	56.94965621	20.25304134	39.3753651	65.30942119	26.61983898	39.04613246	52.97223035	28.78303724	46.26027094
eco_gcs1_t00726	7.067887574	6.594211881	7.077201844	6.570635251	5.659012886	3.615746653	5.233275695	3.524462001	3.790281625	3.859435652	3.551581123	8.67134952	4.963496939	5.880961399	4.125838785	6.715797827	6.91260029	7.834085088
eco_gcs1_t03505	2.930322004	3.739008613	2.73897536	2.419113262	3.029629354	4.002437981	4.353303128	3.567520897	3.727215794	2.502669052	2.88762675	2.319466788	2.934360205	3.855389142	4.318492932	2.328089743	2.88232608	14.53836682
eco_gcs1_t01281	3.197075379	2.216533423	2.876188057	2.386885148	4.012921603	4.043493907	3.347116825	3.494395287	3.642548858	2.946186253	2.801610094	7.856429169	2.621500553	3.518054624	4.51230051	8.376625467	2.371520308	11.83544404
eco_gcs1_t03605	53.93189492	37.57259997	45.34115363	54.63311546	39.99932544	49.03743589	46.4504041	40.65394653	51.94084093	52.52957119	58.82583201	45.67002728	37.84545043	55.1454659	48.97578318	43.40372242	52.55984805	27.09631077
eco_gcs1_t09734	5.550677206	5.038603518	6.328285998	5.66687958	5.636052314	3.532663439	3.550253703	6.151057942	3.649526871	4.072344552	3.077740951	9.6107325	4.376717946	3.096413471	3.897809184	9.993931022	7.10108315	10.76657905
eco_gcs1_t11217	91.87513053	93.27367752	92.57117472	87.91199792	86.5032701	95.70967028	89.66450481	74.71275817	77.93691966	100.1301224	73.90785293	76.11732149	96.59515007	86.76251076	75.89422777	97.3066239	76.7510826	53.71752293
eco_gcs1_t00921	159.6138129	146.7182057	130.3586808	121.3845958	149.6108359	153.5332152	121.5449147	194.3546739	179.2038152	127.8155443	154.087345	111.0935172	111.8009762	187.8214109	128.6887228	81.28696518	178.3699086	118.8039325
eco_gcs1_t10458	43.47216883	41.5257074	51.87308301	41.74955252	48.68564263	48.68881997	47.56384768	56.70957417	52.65505321	33.19725218	52.68662654	29.47393008	39.37497493	55.5005877	50.44352877	24.23870228	52.82560741	27.16825082
eco_gcs1_t07171	84.74995549	83.76109827	75.62753893	58.82852053	75.39848247	74.47295714	56.80719718	81.84530926	86.0076731	56.89680352	71.20320897	80.90908053	54.9466242	70.49392823	77.87898167	32.28242255	55.95878846	16.21592085
eco_gcs1_t03240	13015.96495	18852.14649	16414.46366	14599.62018	21335.32217	18034.63302	17697.54303	14744.44924	18423.8829	15349.80558	17127.57292	13444.88668	18272.52721	18005.80982	17117.59006	11723.0447	16435.58874	21944.5045
eco_gcs1_t09671	41.26082612	35.37758879	18.88684988	39.14239928	42.51051926	17.53292422	61.05575222	9.727027379	30.33701269	69.45309886	15.31673086	24.35860609	78.22117162	16.35551498	13.79627269	48.35625397	16.84691605	39.53669149
eco_gcs1_t01986	91.35817183	33.87545357	79.04517748	72.79010655	31.2264439	73.87553169	63.74044473	33.70707271	100.7276117	57.34690881	33.11370811	101.9267742	58.51542539	24.72229921	119.4539654	23.52536977	17.43765207	18.65052965
eco_gcs1_t06305	135.2098189	163.051843	158.2359569	135.9304277	190.2071811	152.7875966	166.4239773	151.9559795	165.3149974	154.7290615	133.8266384	124.8058738	162.5015195	134.3535152	145.519888	107.2031249	133.5548547	139.8155795
eco_gcs1_t07143	203.56046	97.04408696	217.2750801	182.9697083	88.89276181	168.9384477	169.9247699	110.0396927	172.9658273	195.6445073	120.3105576	168.9643368	182.5399027	141.3003971	241.4822588	132.1251788	141.2428052	294.354492
eco_gcs1_t03742	106.4690092	84.00034129	102.7154269	87.31860746	84.89797468	137.6756489	77.05752213	138.4218548	104.6063764	82.8876517	130.1689388	84.28449368	85.14600688	138.5890836	127.4019266	47.46049302	133.1704855	119.3959233
eco_gcs1_t05819	234.406625	269.1614951	173.2744599	212.2004242	255.8424513	191.2946491	265.17858	168.9335305	241.5647	283.3364972	173.6801398	215.5657293	244.8507794	179.0938951	197.9081641	183.4585192	186.6545322	231.0637395
