	t10	t10	t10	t20	t20	t20	t30	t30	t30	t40	t40	t40	t50	t50	t50	t90	t90	t90
eco_gcs1_t02762	43.36496239	34.87916353	54.75847774	52.20282107	43.45027793	44.40715913	46.99883426	48.85827345	54.20832595	44.22095622	47.93381377	48.73743963	59.07195732	21.29095662	48.28047385	49.14930483	42.46117693	57.0754654
eco_gcs1_t02771	1046.203819	1085.734663	1391.818207	805.9539787	1060.389745	778.2271222	842.8983046	1340.273538	1248.672603	548.5741727	1161.695747	1300.880516	795.936097	952.1244824	1366.701146	824.0673223	838.6026049	771.9209482
eco_gcs1_t10104	262.3857813	226.1191642	180.8580253	178.9512166	211.5194917	134.1166458	190.3264497	135.5563995	155.9537071	164.1790659	132.7600146	184.0209017	196.9024623	213.1366929	107.6212787	238.1930474	139.5173356	117.0196071
eco_gcs1_t04675	24.58927667	14.5335553	26.75143748	24.35705142	18.63947509	26.58541257	19.19459492	16.88262952	16.22668817	35.19951105	12.53025385	14.90872518	18.76864061	18.19374448	15.47724101	19.27301992	16.81962013	17.86027532
eco_gcs1_t10890	108.4359171	116.3626412	117.0708931	103.6215134	97.01504865	109.587596	105.3723957	108.1135403	110.5893346	109.0290632	90.99262815	116.3861298	131.1995626	225.2266529	116.9895712	149.3585197	114.7379294	117.6516363
eco_gcs1_t09612	2366.072851	1969.064577	1833.294464	1057.744684	1494.918227	912.0209466	1014.622956	1101.526433	1047.141944	593.5602518	1043.4189	960.0143951	934.5439515	816.4847044	780.5190847	835.2701087	699.7321585	753.2102582
eco_gcs1_t01001	555.7131947	883.5239982	753.2249116	223.5535762	260.5823773	242.2893421	232.188993	212.868431	267.6480402	156.0198461	239.9249581	257.0372186	190.3837117	8115.907989	192.5595744	190.3118046	184.8341379	445.5752035
eco_gcs1_t01738	26.15162655	32.10651792	30.49598515	30.0460358	38.57292645	36.89954509	48.42398068	77.72178333	97.07986228	54.228896	95.88762231	82.44086014	75.19037591	8.133358092	99.41251742	120.0699943	110.3725477	69.43356818
eco_gcs1_t03710	441.1836637	629.2745451	512.8404946	207.8843271	271.1781937	205.9377476	162.7525083	251.6116995	219.227886	123.7064572	216.1424426	201.0951907	154.9141093	792.6527731	179.191624	207.7243275	170.6619266	162.4494521
eco_gcs1_t05182	6357.117407	8666.527962	10508.07548	1914.061579	3182.560776	2995.076889	846.774744	1799.508198	1571.015535	311.0832046	824.8959352	699.8069747	308.780556	6552.111272	431.0441128	238.2655895	121.7279337	199.8000989
eco_gcs1_t01638	30.50512995	30.50165591	27.30049512	33.39710715	28.31932872	33.42250464	26.32131166	34.04196475	23.79148068	44.03196637	32.93729745	34.79158973	40.24002591	43.31794019	37.50873271	44.79754176	45.87488587	47.91485809
eco_gcs1_t01424	47.57234009	40.03366063	65.72479375	62.88462383	62.43065553	58.95604712	77.41777596	67.13847054	87.55057992	90.59683405	69.2269702	77.71331301	74.9055353	17.3839371	73.5524489	56.76068509	63.80688893	89.20867604
eco_gcs1_t00726	7.553330906	6.402848991	4.878595221	6.035000448	12.27896917	3.911165962	8.91956428	10.94176101	6.884359738	11.24570039	13.37250616	9.710260722	10.32559301	5.518201818	3.956592288	9.531389416	12.82356116	8.491901852
eco_gcs1_t03505	17.85252839	11.77733599	5.147416148	7.260146798	8.156241657	2.754856651	2.802727826	6.813787653	6.844795649	6.262949794	8.67480169	5.194174586	4.692157778	2.64698872	3.780927842	3.143948607	5.226784119	1.651539108
eco_gcs1_t01281	2.433007499	2.71677429	3.880830551	10.0866477	6.968939143	10.16803197	3.632170306	6.821549608	7.811327493	17.04431861	6.792374255	5.885745434	6.899294971	2.602625508	9.409298353	5.316227055	9.815306829	11.26322597
eco_gcs1_t03605	78.33245725	63.67794791	55.94664218	45.76617236	43.46413495	43.05530951	38.44636737	43.55506444	36.50576121	36.49514694	43.45735948	30.97315891	38.95096311	37.03536049	40.232144	38.28927041	35.5108892	44.26271425
eco_gcs1_t09734	12.72754213	14.13608146	12.9777157	12.9536601	10.54769929	20.50194484	12.32278244	10.3046131	9.498151243	13.64050988	8.977976056	8.274594595	9.067657101	17.05483077	9.423398476	12.50898297	9.662699122	12.15676726
eco_gcs1_t11217	310.8664911	267.4056353	220.9654032	203.5323629	195.8700899	116.2950172	123.559759	148.605587	119.7125289	99.74109035	134.4812719	96.8229868	85.23044931	35.94791832	81.10975823	61.5594024	59.67224481	47.80446173
eco_gcs1_t00921	67.49710412	65.37069066	66.76999565	47.24963833	54.1403024	63.79667378	46.53085875	57.5238936	61.01844311	49.40752423	52.06783815	65.22462271	52.66848733	145.944894	55.29297549	56.71579264	44.82644336	55.92539895
eco_gcs1_t10458	25.46941313	28.00275844	22.1417976	18.79394028	18.52293629	15.24977733	20.94178562	18.3506247	21.76959686	23.79088489	18.07466004	24.13676544	20.23262569	32.7671355	20.32332611	24.35738406	19.37001871	20.00011534
eco_gcs1_t07171	205.4178115	219.7628247	513.7941388	321.7691852	328.6480983	457.9710174	420.0101614	408.1612579	643.8110547	359.4767612	416.8634839	658.8745999	556.8758181	42.16726211	577.7561583	583.0178664	456.8208425	449.0939353
eco_gcs1_t03240	1489.378035	1841.901833	1600.543484	996.024052	1456.44914	1212.872474	952.6058209	1426.57754	1316.981813	703.0865056	1368.709471	1170.536094	1067.746409	34432.70669	1227.722043	1200.480745	761.2821309	880.8324444
eco_gcs1_t09671	105.6141714	139.2130569	143.9171581	119.6026185	99.02115295	128.2085826	139.4049457	148.7823519	192.5129243	78.43009075	189.4614059	206.7999165	148.5036471	46.46609449	186.692048	154.9841819	151.2431707	176.6674779
