TF	gene	effect
accb	accb	-
accb	accc	-
acrr	acra	-
acrr	acrb	-
acrr	acrr	-
acrr	micf	-
ada	ada	+
ada	ada	-
ada	aidb	+
ada	alka	+
ada	alkb	+
ada	alkb	-
adiy	adia	+
adiy	gada	+
adiy	gadb	+
adiy	gadc	+
adiy	gadx	+
adiy	gltb	+
adiy	gltd	+
adiy	gltf	+
agar	agaa	-
agar	agab	-
agar	agac	-
agar	agad	-
agar	agai	-
agar	agar	-
agar	agas	-
agar	agav	-
agar	agaw	-
agar	kbay	-
agar	kbaz	-
aidb	aidb	-
alas	alas	-
allr	alla	-
allr	allb	-
allr	alls	-
allr	gcl	-
allr	glxk	-
allr	glxr	-
allr	hyi	-
allr	ybbw	-
allr	ybby	-
alls	allc	+
alls	alld	+
alls	alle	+
alsr	alsa	-
alsr	alsb	-
alsr	alsc	-
alsr	alse	-
alsr	rpib	-
alsr	rpir	-
appy	appa	+
appy	appb	+
appy	appc	+
appy	appx	+
appy	hyaa	+
appy	hyab	+
appy	hyac	+
appy	hyad	+
appy	hyae	+
appy	hyaf	+
arac	araa	+
arac	araa	+-
arac	araa	-
arac	arab	+
arac	arab	+-
arac	arab	-
arac	arac	+
arac	arac	+-
arac	arac	-
arac	arad	+
arac	arad	+-
arac	arad	-
arac	arae	+
arac	araf	+
arac	arag	+
arac	arah	+
arac	araj	+
arac	xyla	-
arac	xylb	-
arca	acea	-
arca	aceb	-
arca	acee	-
arca	acef	-
arca	acek	-
arca	acka	+
arca	acna	-
arca	acnb	-
arca	alda	-
arca	appa	+
arca	appb	+
arca	appc	+
arca	appx	+
arca	arcz	-
arca	beta	-
arca	betb	-
arca	beti	-
arca	bett	-
arca	cada	-
arca	cadb	-
arca	caia	+
arca	caib	+
arca	caic	+
arca	caid	+
arca	caie	+
arca	cait	+
arca	citc	-
arca	citd	-
arca	cite	-
arca	citf	-
arca	citg	-
arca	citx	-
arca	cyda	+
arca	cydb	+
arca	cydc	+
arca	cydd	+
arca	cyoa	-
arca	cyob	-
arca	cyoc	-
arca	cyod	-
arca	cyoe	-
arca	dcta	-
arca	dcuc	+
arca	dpia	+
arca	dpib	+
arca	fada	-
arca	fadb	-
arca	fadd	-
arca	fade	-
arca	fadh	-
arca	fadi	-
arca	fadj	-
arca	fadl	-
arca	fnr	-
arca	foca	+
arca	fuma	-
arca	fumb	+
arca	fumc	-
arca	gada	+
arca	gadx	+
arca	gata	-
arca	gatb	-
arca	gatc	-
arca	gatd	-
arca	gaty	-
arca	gatz	-
arca	glca	-
arca	glcb	-
arca	glcd	-
arca	glce	-
arca	glcf	-
arca	glcg	-
arca	glpa	-
arca	glpb	-
arca	glpc	-
arca	glpd	-
arca	glta	-
arca	grca	+
arca	hema	+
arca	hyaa	+
arca	hyab	+
arca	hyac	+
arca	hyad	+
arca	hyae	+
arca	hyaf	+
arca	hyba	-
arca	hybb	-
arca	hybc	-
arca	hybd	-
arca	hybe	-
arca	hybf	-
arca	hybg	-
arca	hybo	-
arca	icd	-
arca	iram	+
arca	lldd	-
arca	lldp	-
arca	lldr	-
arca	lpd	-
arca	mdh	-
arca	moea	+
arca	moeb	+
arca	ndh	-
arca	nuoa	-
arca	nuob	-
arca	nuoc	-
arca	nuoe	-
arca	nuof	-
arca	nuog	-
arca	nuoh	-
arca	nuoi	-
arca	nuoj	-
arca	nuok	-
arca	nuol	-
arca	nuom	-
arca	nuon	-
arca	oppa	-
arca	oppb	-
arca	oppc	-
arca	oppd	-
arca	oppf	-
arca	pflb	+
arca	prfa	+
arca	prmc	+
arca	ptsg	-
arca	puua	-
arca	puub	-
arca	puuc	-
arca	puud	-
arca	puue	-
arca	puup	-
arca	puur	-
arca	rhat	-
arca	rplb	-
arca	rplc	-
arca	rpld	-
arca	rplp	-
arca	rplv	-
arca	rplw	-
arca	rpmc	-
arca	rpos	-
arca	rpsc	-
arca	rpsj	-
arca	rpsq	-
arca	rpss	-
arca	ruta	+
arca	rutb	+
arca	rutc	+
arca	rutd	+
arca	rute	+
arca	rutf	+
arca	rutg	+
arca	sdha	+
arca	sdha	-
arca	sdhb	+
arca	sdhb	-
arca	sdhc	+
arca	sdhc	-
arca	sdhd	+
arca	sdhd	-
arca	soda	-
arca	srod	-
arca	ssb	-
arca	suca	+
arca	suca	-
arca	sucb	+
arca	sucb	-
arca	succ	+
arca	succ	-
arca	sucd	+
arca	sucd	-
arca	tpx	-
arca	treb	+
arca	trec	+
arca	ubia	-
arca	ubic	-
arca	uvra	-
arca	xylr	+
arca	ybdn	+
arca	ydea	-
argp	argo	+
argp	argp	-
argp	dapb	+
argp	dapd	+
argp	dnaa	+
argp	dnan	+
argp	gdha	+
argp	lysa	+
argp	lysc	+
argp	lysp	+
argp	nrda	+
argp	nrdb	+
argp	recf	+
argp	yfae	+
argr	arga	-
argr	argb	-
argr	argc	-
argr	argd	-
argr	arge	-
argr	argf	-
argr	argg	-
argr	argh	-
argr	argi	-
argr	argr	-
argr	arti	-
argr	artj	-
argr	artm	-
argr	artp	-
argr	artq	-
argr	asta	+
argr	astb	+
argr	astc	+
argr	astd	+
argr	aste	+
argr	cara	-
argr	carb	-
argr	gltb	-
argr	gltd	-
argr	gltf	-
argr	hisj	-
argr	hism	-
argr	hisp	-
argr	hisq	-
argr	infb	-
argr	mety	-
argr	nusa	-
argr	pnp	-
argr	rbfa	-
argr	rimp	-
argr	rpso	-
argr	trub	-
arsr	arsb	-
arsr	arsc	-
arsr	arsr	-
ascg	ascb	-
ascg	ascf	-
ascg	htpg	-
ascg	prpr	-
ascg	ybit	-
asnc	asna	+
asnc	asnc	-
asnc	mioc	-
asnc	mnmg	-
atoc	atoa	+
atoc	atob	+
atoc	atod	+
atoc	atoe	+
baer	acrd	+
baer	baer	+
baer	baes	+
baer	mdta	+
baer	mdtb	+
baer	mdtc	+
baer	mdtd	+
baer	spy	+
basr	csgd	+
basr	csge	+
basr	csgf	+
basr	csgg	+
basr	cspi	+
basr	dgka	+
basr	fimb	+
basr	hha	+
basr	puta	-
basr	tomb	+
basr	yrbl	-
beti	beta	-
beti	betb	-
beti	beti	-
beti	bett	-
bira	bioa	-
bira	biob	-
bira	bioc	-
bira	biod	-
bira	biof	-
blur	arir	-
blur	ycgz	-
blur	ymga	-
blur	ymgc	-
bola	ampc	+-
bola	dacc	+-
cadc	cada	+
cadc	cadb	+
cadc	cadc	+
caif	caia	+
caif	caib	+
caif	caic	+
caif	caid	+
caif	caie	+
caif	cait	+
caif	fixa	+
caif	fixb	+
caif	fixc	+
caif	fixx	+
cbl	ssua	+
cbl	ssub	+
cbl	ssuc	+
cbl	ssud	+
cbl	ssue	+
cbl	taua	+
cbl	taub	+
cbl	tauc	+
cbl	taud	+
cdar	cdar	+
cdar	gard	+
cdar	gark	+
cdar	garl	+
cdar	garp	+
cdar	garr	+
cdar	gudd	+
cdar	gudp	+
cdar	gudx	+
cdar	rnpb	+
chbr	chba	+-
chbr	chbb	+-
chbr	chbc	+-
chbr	chbf	+-
chbr	chbg	+-
chbr	chbr	+-
comr	bhsa	-
cpxr	acrd	+
cpxr	arog	+
cpxr	baca	+
cpxr	baer	+
cpxr	baes	+
cpxr	bame	-
cpxr	chea	-
cpxr	chew	-
cpxr	cpxa	+
cpxr	cpxp	+
cpxr	cpxr	+
cpxr	csga	-
cpxr	csgb	-
cpxr	csgc	-
cpxr	csgd	-
cpxr	csge	-
cpxr	csgf	-
cpxr	csgg	-
cpxr	degp	+
cpxr	dgcz	+
cpxr	dsba	+
cpxr	dsbc	+
cpxr	efeu_1	-
cpxr	efeu_2	-
cpxr	fabz	+
cpxr	ftnb	+
cpxr	hha	+
cpxr	hlpa	+
cpxr	lpxa	+
cpxr	lpxd	+
cpxr	mdta	+
cpxr	mdtb	+
cpxr	mdtc	+
cpxr	mdtd	+
cpxr	mota	-
cpxr	motb	-
cpxr	mscm	-
cpxr	mzra	+
cpxr	ompc	+
cpxr	ompf	-
cpxr	ppia	+
cpxr	ppid	+
cpxr	psd	-
cpxr	rdoa	+
cpxr	rpoe	-
cpxr	rpoh	+
cpxr	rsea	-
cpxr	rseb	-
cpxr	rsec	-
cpxr	sbma	+
cpxr	slt	+
cpxr	spy	+
cpxr	tomb	+
cpxr	tsr	-
cpxr	ung	-
cpxr	yaiw	+
cpxr	ycca	+
cpxr	ycfs	+
cpxr	yebe	+
cpxr	ygau	+
cpxr	yidq	+
cpxr	yqae	+
cpxr	yqja	+
cra	acea	+
cra	aceb	+
cra	acee	-
cra	acef	-
cra	acek	+
cra	acna	+
cra	acnb	-
cra	adhe	-
cra	arop	+
cra	beta	+
cra	betb	+
cra	beti	+
cra	bett	+
cra	crr	+
cra	crr	-
cra	csgd	+
cra	csge	+
cra	csgf	+
cra	csgg	+
cra	cyda	+
cra	cydb	+
cra	cyoa	-
cra	cyob	-
cra	cyoc	-
cra	cyod	-
cra	cyoe	-
cra	cysg	-
cra	eda	-
cra	edd	-
cra	eno	-
cra	envc	-
cra	epd	-
cra	fbaa	-
cra	fbab	-
cra	frua	-
cra	frub	-
cra	fruk	-
cra	gapa	-
cra	glcc	-
cra	glk	-
cra	gpmm	-
cra	hypf	-
cra	icd	+
cra	lpd	-
cra	manx	-
cra	many	-
cra	manz	-
cra	mara	-
cra	marb	-
cra	marr	-
cra	mpl	-
cra	mtla	-
cra	mtld	-
cra	mtlr	-
cra	nirb	-
cra	nirc	-
cra	nird	-
cra	pck	+
cra	pdhr	-
cra	pfka	-
cra	pgk	-
cra	poxb	+
cra	ppc	-
cra	ppsa	+
cra	prpb	-
cra	prpc	-
cra	prpd	-
cra	prpe	-
cra	ptsh	+
cra	ptsh	-
cra	ptsi	+
cra	ptsi	-
cra	pykf	-
cra	seta	-
cra	sgrs	-
cra	sgrt	-
cra	tpia	-
cra	yaha	-
cra	yead	-
cra	yibq	-
cra	zwf	-
creb	cred	+
creb	male	-
creb	malf	-
creb	malg	-
creb	tala	+
crp	aaea	+
crp	aaeb	+
crp	aaer	-
crp	aaex	+
crp	acea	-
crp	aceb	-
crp	acee	+
crp	acef	+
crp	acek	-
crp	acna	+
crp	acnb	+
crp	acs	+
crp	actp	+
crp	aer	+
crp	agaa	+
crp	agav	+
crp	agaw	+
crp	agp	+
crp	alda	+
crp	aldb	+
crp	ampd	-
crp	ampe	-
crp	ansb	+
crp	araa	+
crp	arab	+
crp	arac	+
crp	arad	+
crp	arae	+
crp	araf	+
crp	arag	+
crp	arah	+
crp	araj	+
crp	araj	-
crp	arfb	-
crp	argg	+
crp	aroa	-
crp	ascb	+
crp	ascf	+
crp	aspa	+
crp	azuc	-
crp	bglb	+
crp	bglf	+
crp	bglg	+
crp	bhsa	-
crp	caia	+
crp	caib	+
crp	caic	+
crp	caid	+
crp	caie	+
crp	caif	+
crp	cait	+
crp	cdd	+
crp	cdd	+-
crp	cdd	-
crp	chba	+
crp	chbb	+
crp	chbc	+
crp	chbf	+
crp	chbg	+
crp	chbr	+
crp	cira	+
crp	citc	-
crp	citd	-
crp	cite	-
crp	citf	-
crp	citg	-
crp	citx	-
crp	comr	-
crp	cpdb	+
crp	crp	+
crp	crp	-
crp	crr	+
crp	crr	-
crp	csgd	+
crp	csge	+
crp	csgf	+
crp	csgg	+
crp	csid	+
crp	csie	+
crp	cspe	+
crp	csta	+
crp	cyaa	-
crp	cyar	+
crp	cyoa	+
crp	cyob	+
crp	cyoc	+
crp	cyod	+
crp	cyoe	+
crp	cysg	-
crp	cytr	+-
crp	dada	+
crp	dada	+-
crp	dadx	+
crp	dadx	+-
crp	dcta	+
crp	dcua	+
crp	dcub	+
crp	dcur	+
crp	deoa	+
crp	deoa	+-
crp	deob	+
crp	deob	+-
crp	deoc	+
crp	deoc	+-
crp	deod	+
crp	deod	+-
crp	dksa	+
crp	dpia	-
crp	dpib	-
crp	dsda	+
crp	dsdx	+
crp	dusb	+
crp	dusb	+-
crp	ebga	+
crp	ebgc	+
crp	enta	+
crp	entb	+
crp	entc	+
crp	entd	+
crp	ente	+
crp	enth	+
crp	envz	+
crp	envz	-
crp	epd	+
crp	exut	+
crp	fadd	+
crp	fadh	+
crp	fadl	+
crp	fbaa	+
crp	fear	+
crp	feca	+
crp	fecb	+
crp	fecc	+
crp	fecd	+
crp	fece	+
crp	fepa	+
crp	fis	+
crp	fis	+-
crp	fiu	+
crp	fixa	+
crp	fixb	+
crp	fixc	+
crp	fixx	+
crp	flhc	+
crp	flhd	+
crp	foca	+
crp	focb	+
crp	fuca	+
crp	fuci	+
crp	fuck	+
crp	fuco	+
crp	fucp	+
crp	fucr	+
crp	fucu	+
crp	fuma	+
crp	fumb	+
crp	fumc	+
crp	fumc	?
crp	fur	+
crp	gabd	+
crp	gabp	+
crp	gabt	+
crp	gada	-
crp	gadb	-
crp	gadc	-
crp	gade	-
crp	gadx	-
crp	gale	+
crp	gale	-
crp	galk	+
crp	galk	-
crp	galm	+
crp	galm	-
crp	galp	+
crp	gals	+
crp	galt	+
crp	galt	-
crp	gapa	+
crp	gata	+
crp	gatb	+
crp	gatc	+
crp	gatd	+
crp	gaty	+
crp	gatz	+
crp	gcd	-
crp	gcvh	+
crp	gcvp	+
crp	gcvt	+
crp	gdha	-
crp	glcc	+
crp	glga	+
crp	glgc	+
crp	glgp	+
crp	glgs	+
crp	glna	+
crp	glna	-
crp	glng	+
crp	glng	-
crp	glnl	+
crp	glnl	-
crp	glpa	+
crp	glpb	+
crp	glpc	+
crp	glpd	+
crp	glpe	+
crp	glpf	+
crp	glpg	+
crp	glpk	+
crp	glpq	+
crp	glpr	+
crp	glpt	+
crp	glpx	+
crp	glta	+
crp	gltb	-
crp	gltd	-
crp	gltf	-
crp	gntk	+
crp	gntp	+
crp	gntt	+
crp	gntu	+
crp	gntx	+
crp	grca	+
crp	grpe	+
crp	guaa	+
crp	guab	+
crp	gutm	+
crp	gutq	+
crp	gyra	+
crp	hflc	-
crp	hflk	-
crp	hflx	-
crp	hfq	-
crp	hlye	+
crp	hofb	+
crp	hofc	+
crp	hofm	+
crp	hofn	+
crp	hofo	+
crp	hofp	+
crp	hpt	+
crp	hupa	+
crp	hupb	+
crp	hyfa	+
crp	hyfb	+
crp	hyfc	+
crp	hyfd	+
crp	hyfe	+
crp	hyff	+
crp	hyfg	+
crp	hyfh	+
crp	hyfi	+
crp	hyfj	+
crp	hyfr	+
crp	idnd	+
crp	idnk	+
crp	idno	+
crp	idnr	+
crp	idnt	+
crp	ilvb	+
crp	ilvn	+
crp	infb	-
crp	isra	+
crp	ivbl	+
crp	kbaz	+
crp	laca	+
crp	laca	-
crp	laci	+
crp	lacy	+
crp	lacy	-
crp	lacz	+
crp	lacz	-
crp	lamb	+
crp	lhgo	+
crp	lpd	+
crp	lpd	-
crp	lsra	+
crp	lsrb	+
crp	lsrc	+
crp	lsrd	+
crp	lsrf	+
crp	lsrg	+
crp	lsrk	+
crp	lsrr	+
crp	lyxk	+
crp	lyxk	?
crp	male	+
crp	malf	+
crp	malg	+
crp	mali	+
crp	mali	-
crp	malk	+
crp	malm	+
crp	mals	+
crp	malt	+
crp	malx	+
crp	maly	+
crp	mana	+
crp	mana	-
crp	manx	+
crp	many	+
crp	manz	+
crp	mara	+
crp	marb	+
crp	marr	+
crp	maze	+
crp	mazf	+
crp	mdh	+
crp	mdte	-
crp	mdtf	-
crp	mela	+
crp	melb	+
crp	melr	+
crp	metk	-
crp	mety	-
crp	mgla	+
crp	mglb	+
crp	mglc	+
crp	mhpa	+
crp	mhpb	+
crp	mhpc	+
crp	mhpd	+
crp	mhpe	+
crp	mhpf	+
crp	mhpr	+
crp	mlc	+
crp	mlc	-
crp	moda	+
crp	modb	+
crp	modc	+
crp	mpl	+
crp	mtla	+
crp	mtld	+
crp	mtlr	+
crp	murp	+
crp	murq	+
crp	nadc	+
crp	naga	+-
crp	nagb	+-
crp	nagc	+-
crp	nage	+-
crp	nana	+
crp	nanc	+
crp	nane	+
crp	nank	+
crp	nanm	+
crp	nant	+
crp	narq	-
crp	nfua	+
crp	nirb	-
crp	nirc	-
crp	nird	-
crp	nlpe	-
crp	nmpc	+
crp	nrda	+
crp	nrdb	+
crp	nupc	+
crp	nupg	+
crp	nupg	+-
crp	nupg	-
