	t10	t10	t10	t20	t20	t20	t30	t30	t30	t40	t40	t40	t90	t90	t90
eco_gcs1_t02762	138.2358117	228.5817181	261.5958733	153.7550743	216.6092163	135.2562275	125.5580892	301.3574646	232.7092312	128.7762499	272.2235589	231.3065173	104.1352738	152.7503358	141.2531492
eco_gcs1_t02771	1030.337148	811.0607398	353.6510642	2659.583816	1268.66825	2580.56266	2039.012116	340.5322422	1788.07736	2511.151009	249.6659444	601.7243242	4803.247911	1459.35815	2487.010971
eco_gcs1_t10104	360.0346275	371.2412734	347.4136336	350.9549062	338.7650166	399.1790379	348.9487715	345.2011644	368.5168794	376.0643191	434.6156263	221.256018	436.9806503	304.4236787	328.3996699
eco_gcs1_t04675	98.52182888	98.44319757	118.4620615	89.713962	76.89739673	46.58374948	118.8413001	160.3369481	68.0797021	65.99795064	115.0415822	138.893727	51.09763897	66.45942952	52.93470835
eco_gcs1_t10890	315.9943567	385.9362417	361.912056	312.1097679	497.9925665	415.5623939	340.9812868	334.6530545	378.8751152	415.4816829	260.2114207	343.8210921	533.1776007	491.1768529	393.5561218
eco_gcs1_t09612	1837.801992	1153.470066	771.3034055	6363.642035	4013.338905	4031.595044	3446.581397	653.5030319	3231.676549	3696.710455	655.0281906	871.2386401	5395.38358	2261.369862	2253.439923
eco_gcs1_t01001	6875.945042	743.1002256	168.0196792	1334.444425	551.7927425	1068.990242	1772.776804	283.0802666	4061.052302	4256.469328	809.2923342	531.3060446	9055.206559	2080.412283	2358.266173
eco_gcs1_t01738	22.90362418	32.18356233	87.824574	41.67102955	33.71052747	41.9785718	20.35738839	73.09681523	96.28578663	84.98005647	87.46118834	67.46692021	51.91794837	58.29989391	30.83468327
eco_gcs1_t03710	1256.022829	630.3806183	608.6577815	3303.774402	1638.889636	1687.717071	575.5430492	201.1944647	646.2531703	471.580494	254.7981605	165.0323237	405.6847464	329.0849903	255.1469221
eco_gcs1_t05182	12450.40884	8671.299498	4383.476894	20150.05095	25912.04525	31216.97529	12155.55837	3776.158256	43460.69721	16460.17341	4294.347213	668.3484296	4226.626831	6242.465412	3086.219724
eco_gcs1_t01638	82.95513795	178.8784912	191.811904	111.712644	148.002028	117.496748	170.5891075	243.9322141	113.8834561	127.849051	175.1562514	219.3426136	155.8199159	173.3327812	167.8949719
eco_gcs1_t01424	144.4919565	201.3170197	244.901346	108.7362601	136.2508293	135.1555578	125.0759099	271.2561878	320.2587243	190.3454779	373.9692439	245.2212811	73.98220004	131.0448048	119.9215672
eco_gcs1_t00726	43.87194368	52.85902052	73.66749132	25.96805186	9.257680628	18.71716115	15.73192592	65.61305305	23.34678333	38.39401973	70.0391556	76.40195336	27.24258302	16.06143707	16.54663942
eco_gcs1_t03505	14.25222908	3.974603934	5.524381106	14.3715007	7.82325778	10.05157268	7.503147907	5.466851978	20.36329735	10.16205887	7.332811819	10.34534542	10.42436022	7.385127978	8.643108924
eco_gcs1_t01281	29.38100966	62.63785193	92.00052842	20.63564055	20.84535074	19.27687253	32.72455276	98.47078173	19.70762235	21.79028231	50.18414889	81.19987205	20.62645267	16.79713187	13.23057437
eco_gcs1_t03605	234.3062923	156.7671607	149.3585582	192.2617948	160.4469655	112.2946189	128.1651988	202.5009162	141.0630978	153.2437623	191.3168493	184.2575279	119.1436328	157.3809542	126.110098
eco_gcs1_t09734	34.86005852	288.6452772	391.1286043	37.24885805	173.4191111	72.37635796	98.62835417	377.6771072	24.943604	42.16886615	278.3105783	370.6078546	33.21235513	220.4462475	203.388065
eco_gcs1_t11217	221.5549764	150.5002143	170.2621785	245.2982524	199.3891577	332.0605295	164.1920718	148.3373433	266.3714109	249.2016975	136.3139496	185.0407643	236.0191075	145.500399	311.5530839
eco_gcs1_t00921	119.6156445	69.00046868	142.8175061	98.80794702	146.550903	135.473169	224.1445516	175.872261	177.6487226	136.0879864	179.5388352	166.462572	239.8516785	202.9238075	183.2919705
eco_gcs1_t10458	55.14945192	42.54957524	48.67573043	56.00972266	31.49664565	46.5036283	47.14333265	30.65893384	96.30699473	52.93216108	21.05023172	24.54507048	146.0312302	39.70002644	95.4762013
eco_gcs1_t07171	292.9128173	246.1138544	216.7019966	647.7655515	870.6695895	895.1304591	764.3749908	506.7621187	1496.972761	1488.670264	551.740363	173.7748685	191.0515119	130.258584	153.0745591
eco_gcs1_t03240	9709.627897	3944.245833	1843.403496	9492.157436	6552.490919	75012.24944	62548.55323	2001.255458	33377.79513	16556.09528	1180.61922	2361.773523	19064.07707	6936.360807	8374.436249
eco_gcs1_t09671	143.0940206	135.043729	259.2126652	216.9173569	140.340868	142.634271	83.09962431	220.5650941	84.37474776	132.1175382	257.880339	240.4074481	76.50204328	129.569647	166.7247619
eco_gcs1_t01986	98.27134958	33.06789506	64.45046632	331.3932956	414.4716835	775.0985342	211.5490493	100.2561968	523.0033811	47.78717702	37.04905864	54.84326574	14.99913811	16.83256602	18.35522662
eco_gcs1_t06305	293.8558861	115.7331907	183.7270057	199.2492234	184.6988443	172.5718094	134.3638099	200.1789839	265.4755414	220.4634586	221.7429113	181.1127629	155.5121032	146.238776	178.3487928
eco_gcs1_t07143	264.1012682	180.5065901	245.7505409	248.2960477	149.7892132	208.1049791	369.5379822	308.259158	336.2534445	585.7263025	293.7149611	282.5080322	163.4782463	106.4933544	125.304628
eco_gcs1_t03742	101.4978541	33.7081122	38.32257138	174.0534473	112.678613	220.0969296	124.7716595	49.89377041	272.0284481	184.5929699	91.09528455	81.56303899	133.0221831	115.3211882	152.9061351
eco_gcs1_t05819	446.9423613	153.9010838	120.1465203	321.7734313	290.6546645	659.8641167	311.5856171	148.8294049	902.3283928	916.2603934	165.7152046	117.8815278	353.8382056	128.4765848	201.0052126
eco_gcs1_t04004	31.84535359	59.68728662	67.79930093	26.34544273	24.4340772	13.48310968	11.39740989	58.20225708	19.20021247	30.11394878	75.90557594	67.94056979	27.30623899	38.9349586	34.47164857
eco_gcs1_t03670	62.83912346	54.19074586	132.6195562	35.57587661	57.85241188	58.89469481	76.42117569	122.2120671	21.85357876	29.82396454	83.89388244	130.118867	38.85062008	58.05182133	69.16779873
eco_gcs1_t05705	61.88582554	127.1938195	161.9495045	47.7441987	102.7912431	62.32720653	98.58845024	185.0430135	35.78452211	55.45598756	212.2179416	165.0668529	77.28107113	102.5902552	69.2065945
eco_gcs1_t02177	1348.928319	495.7778754	315.0912156	654.223068	943.0360197	1579.123258	574.7397388	331.0260304	2627.311471	805.3365974	645.8868288	736.5876151	1128.797756	2226.015699	2036.270883
eco_gcs1_t03658	14.40416985	37.55077631	27.42784838	17.00093565	10.48098382	16.59295822	10.25008492	16.74056222	19.39207733	14.76557052	25.94525885	20.794915	14.11457583	14.61141773	16.56078901
eco_gcs1_t07402	7.469503764	4.108116314	3.48640556	7.907307428	4.648317246	8.868744785	7.500160704	3.1256127	19.11117452	6.808491785	4.021343928	3.45225153	9.020828262	4.170817806	5.160708603
eco_gcs1_t11482	122.43333	249.2007988	363.3168616	81.6956647	162.7734246	67.44936046	205.8091575	396.1748731	41.72555017	78.57133919	279.3794165	358.1072768	59.63190915	175.9668992	170.2258945
eco_gcs1_t05351	559.2602454	258.5611146	329.2454701	733.4094175	418.6272092	497.6565082	558.7344326	376.1866458	451.3615731	869.1076015	400.9784752	313.4477009	472.9263383	252.4897521	315.7747416
eco_gcs1_t10210	162.6192038	294.057786	381.6645812	141.3207998	148.6326102	85.52053938	203.9744996	359.2960329	41.3638895	148.9470378	294.7219057	343.5286984	91.57144836	177.6862809	169.4227686
eco_gcs1_t11261	26.65570167	56.9972044	97.01012389	21.54506143	29.23506014	14.25347666	12.38387636	99.90351054	19.03986467	23.22352281	64.55791787	110.157176	19.24468866	36.94997952	36.10480213
eco_gcs1_t06014	92.19658217	117.353748	142.9375158	60.28297898	107.0220058	61.89174046	76.04093675	164.9922572	27.38459345	62.62712498	150.5489757	140.5449358	46.89633946	108.1685117	81.95127614
eco_gcs1_t04766	34.2504833	45.47219682	11.20868985	57.29066893	32.90742026	17.22609155	49.11292153	26.97462806	24.64339521	63.77776776	48.05932369	24.13742403	47.23465853	9.553471304	8.744295721
eco_gcs1_t03334	28.29050303	96.61042754	89.47093814	33.22320015	58.57310838	48.49106693	55.34640695	100.2194949	34.17923767	16.39395278	64.52824917	97.09737888	57.31200287	92.85800569	74.26387053
eco_gcs1_t01322	151.3830711	537.3070772	689.7986826	147.3519955	349.1312578	133.8431422	200.9508959	786.0776443	21.41591763	127.2203222	595.4625473	742.3518287	91.05610932	436.0453928	371.4457354
eco_gcs1_t08621	436.903192	348.754704	114.9814117	1063.598597	272.8978578	597.8923831	580.9738672	85.13146685	363.9351795	680.3541329	72.28423251	557.2179092	4268.108349	1119.515406	2049.570781
eco_gcs1_t03728	50.72713057	96.16594837	114.8615748	46.80689788	71.33629148	86.14090917	19.82345292	107.8689378	54.40616739	30.07426015	119.7228878	115.2425263	90.06247999	138.6196113	112.8991465
eco_gcs1_t05055	27.25506127	101.0511777	121.4974045	14.25209257	49.63980667	20.81803074	18.94705584	124.8365759	21.04627052	15.76299595	80.18153348	102.0088197	16.78790579	50.21248167	37.26697053
eco_gcs1_t07238	68.26080853	170.3531764	237.2210383	44.15990861	111.906305	89.51863826	149.6860724	256.8817473	135.6324041	54.85188726	258.9648489	229.212807	54.7096937	156.9609002	140.1532351
eco_gcs1_t02533	59.21237675	45.60501852	65.23615939	58.24816153	90.4127272	60.35475992	84.30169333	83.60942234	108.6272726	53.52954351	47.06677652	70.0161921	40.62209262	58.58096343	39.02383049
eco_gcs1_t05046	152.2233266	143.7354604	100.8774965	126.30206	138.0420019	119.7732032	116.9846704	127.7024844	120.3442274	103.0121735	157.2783751	102.2034218	67.31765095	116.1622009	102.9390057
eco_gcs1_t02620	28.19505587	48.58540151	12.00170454	20.13378125	10.5477842	23.04529666	9.359808766	24.38770121	19.72229828	9.579175843	48.85615621	24.92856958	11.11598538	14.85585764	6.971065012
eco_gcs1_t06729	879.8232709	2076.728389	9.860988174	301.4513424	192.8142854	571.0740738	165.308761	4.635773926	534.3210008	212.7927837	72.42475916	3397.462453	17610.45579	9918.214672	8111.542794
