ID	probeset_id	ORF	synonym	pid	description	"	probe.id"
eco_gcs1_t02762	eco1044	yceF	b1087	90111211	"Maf-like	protei"	"eco_gcs1_t02762;eco_gcs1_t02761																	"
eco_gcs1_t02771	eco1050	fabG	b1093	16129056	"3-oxoacyl-[acyl-carrier-protein]	reductase	"	"eco_gcs1_t02771;eco_gcs1_t02772;eco_gcs1_t02770																	"
eco_gcs1_t10104	eco3715	trkH	b3849	49176432	"potassium	transporter	"	"eco_gcs1_t10104;eco_gcs1_t10103;eco_gcs1_t10102;eco_gcs1_t10105																	"
eco_gcs1_t04675	eco1696	astB	b1745	16129699	"succinylarginine	dihydrolase	"	"eco_gcs1_t04675;eco_gcs1_t04674																	"
eco_gcs1_t10890	eco4015	mutL	b4170	16131992	"DNA	mismatch	repair	protein	"	"eco_gcs1_t10890;eco_gcs1_t10889;eco_gcs1_t10888															"
eco_gcs1_t09612	eco3520	ttk	b3641	90111625	"nucleoid	occlusion	protein	"	"eco_gcs1_t09612																"
eco_gcs1_t01001	eco0411	cyoE	b0428	16128413	"protoheme	IX	farnesyltransferase	"	"eco_gcs1_t01001;eco_gcs1_t01002																"
eco_gcs1_t01738	eco0674	ybfC	b0704	16128679	"hypothetical	protein	"	"eco_gcs1_t01738;eco_gcs1_t01739;eco_gcs1_t01735;eco_gcs1_t01736;eco_gcs1_t01737																	"
eco_gcs1_t03710	eco1376	trg	b1421	16129380	"methyl-accepting	chemotaxis	protein	III,	ribose	and	galactose	sensor	receptor	"	"eco_gcs1_t03710;eco_gcs1_t03712;eco_gcs1_t03708;eco_gcs1_t03711;eco_gcs1_t03713;eco_gcs1_t03709										"
eco_gcs1_t05182	eco1871	fliC	b1923	16129870	"flagellin	"	"eco_gcs1_t05182;eco_gcs1_t05183;eco_gcs1_t05181;eco_gcs1_t05184;eco_gcs1_t05185;eco_gcs1_t05186																		"
eco_gcs1_t01638	eco0638	lnt	b0657	16128640	"apolipoprotein	N-acyltransferase	"	"eco_gcs1_t01638;eco_gcs1_t01639																	"
eco_gcs1_t01424	eco0562	ybdK	b0581	16128564	"gamma-glutamyl:cysteine	ligase	"	"eco_gcs1_t01424;eco_gcs1_t01428;eco_gcs1_t01427;eco_gcs1_t01423;eco_gcs1_t01426;eco_gcs1_t01425																	"
eco_gcs1_t00726	eco0299	ykgH	b0310	16128295	"predicted	inner	membrane	protein	"	"eco_gcs1_t00726;eco_gcs1_t00728;eco_gcs1_t00725;eco_gcs1_t00724;eco_gcs1_t00727															"
eco_gcs1_t03505	eco1308	racC	b1351	16129312	"Rac	prophage;	predicted	protein	"	"eco_gcs1_t03505;eco_gcs1_t03504															"
